task,repo,n,npass,pass_rate,n_steps,first_step,last_step,mean_step,first_solved_step,early_pass_rate,late_pass_rate,bucket,dynamics,pass_by_step
aiohttp:4f41d05e1a1340303a92e77a166646af370291e8,aiohttp,16,0,0.0,2,58,119,88.5,-1,0.0,0.0,dead_hard,never_solved,58:0/8;119:0/8
aiohttp:50efb2a389414cf36012d3f6e86623f8eac3a42e,aiohttp,24,0,0.0,3,1,126,63.7,-1,0.0,0.0,dead_hard,never_solved,1:0/8;64:0/8;126:0/8
aiohttp:524bd16663338a535f1002b44e91bfa9206337fb,aiohttp,24,0,0.0,3,42,167,104.0,-1,0.0,0.0,dead_hard,never_solved,42:0/8;103:0/8;167:0/8
aiohttp:52581e8af7ceed473659ae3d88795183c71ee37d,aiohttp,24,0,0.0,3,39,164,101.0,-1,0.0,0.0,dead_hard,never_solved,39:0/8;100:0/8;164:0/8
aiohttp:5269480e0f4f93786434065c858b966402a4bf6f,aiohttp,8,0,0.0,1,57,57,57.0,-1,0.0,0.0,dead_hard,never_solved,57:0/8
aiohttp:53476dfd4ef4fb1bb74a267714bbc39eda71b403,aiohttp,24,0,0.0,3,25,151,88.0,-1,0.0,0.0,dead_hard,never_solved,25:0/8;88:0/8;151:0/8
aiohttp:541d86d9e7884590c655876cd40042565293d8df,aiohttp,16,0,0.0,2,23,149,86.0,-1,0.0,0.0,dead_hard,never_solved,23:0/8;149:0/8
aiohttp:5a6949da642d1db6cf414fd0d1f70e54c7b7be14,aiohttp,24,0,0.0,3,42,167,104.0,-1,0.0,0.0,dead_hard,never_solved,42:0/8;103:0/8;167:0/8
aiohttp:5ddff951a40d0e699b3037f8482b53bf1d9f3990,aiohttp,24,0,0.0,3,18,144,81.3,-1,0.0,0.0,dead_hard,never_solved,18:0/8;82:0/8;144:0/8
aiohttp:5e498df77b6034455d5b65f7a963f2cb2f605990,aiohttp,24,0,0.0,3,17,143,80.3,-1,0.0,0.0,dead_hard,never_solved,17:0/8;81:0/8;143:0/8
aiohttp:640bb1ef50b93303c3ef857cbf2f89cd94e9137a,aiohttp,16,0,0.0,2,59,121,90.0,-1,0.0,0.0,dead_hard,never_solved,59:0/8;121:0/8
aiohttp:6462f7553ff1e7f1778c5e1d315bd5ff890ceaa5,aiohttp,16,0,0.0,2,69,131,100.0,-1,0.0,0.0,dead_hard,never_solved,69:0/8;131:0/8
aiohttp:64a3d30a57952ec86caa2688d4a98696a486d3ea,aiohttp,24,0,0.0,3,39,164,101.3,-1,0.0,0.0,dead_hard,never_solved,39:0/8;101:0/8;164:0/8
aiohttp:64f5fe2c23b9b6aa35a231e9d95c267f26e28c24,aiohttp,24,0,0.0,3,37,163,99.7,-1,0.0,0.0,dead_hard,never_solved,37:0/8;99:0/8;163:0/8
aiohttp:672cb20b38b10a329b5dfa8f1845fb022a426bf7,aiohttp,24,0,0.0,3,24,150,86.7,-1,0.0,0.0,dead_hard,never_solved,24:0/8;86:0/8;150:0/8
aiohttp:6d192e795a104730da6cd96d5d9ba2fbaa22eee6,aiohttp,24,0,0.0,3,16,142,79.3,-1,0.0,0.0,dead_hard,never_solved,16:0/8;80:0/8;142:0/8
aiohttp:6e4e554781dce834f9a1298f36f9382e57d5276d,aiohttp,16,0,0.0,2,58,119,88.5,-1,0.0,0.0,dead_hard,never_solved,58:0/8;119:0/8
aiohttp:7199e09eceb279a90a1921f9dd784ad7a1d1b805,aiohttp,24,0,0.0,3,25,151,87.7,-1,0.0,0.0,dead_hard,never_solved,25:0/8;87:0/8;151:0/8
aiohttp:74705a48f242bc2d807e3129c9b88fd22f6eb22b,aiohttp,16,0,0.0,2,63,124,93.5,-1,0.0,0.0,dead_hard,never_solved,63:0/8;124:0/8
aiohttp:750a09537324940f2b29cf62e023a94b9a1a8709,aiohttp,24,0,0.0,3,15,140,77.3,-1,0.0,0.0,dead_hard,never_solved,15:0/8;77:0/8;140:0/8
aiohttp:78d45e733dfeebc0914a409ea2af646fcb6f1c61,aiohttp,16,0,0.0,2,56,118,87.0,-1,0.0,0.0,dead_hard,never_solved,56:0/8;118:0/8
aiohttp:7c38deb7c709be6c69962002c133e2781512724b,aiohttp,24,0,0.0,3,1,126,63.7,-1,0.0,0.0,dead_hard,never_solved,1:0/8;64:0/8;126:0/8
aiohttp:7fa8d945a452fb4ad912589f4ba5bcea13338bcf,aiohttp,24,0,0.0,3,21,147,84.3,-1,0.0,0.0,dead_hard,never_solved,21:0/8;85:0/8;147:0/8
aiohttp:841d00eb3c5393fc6eccbfcd09114b14c74772d4,aiohttp,16,0,0.0,2,61,123,92.0,-1,0.0,0.0,dead_hard,never_solved,61:0/8;123:0/8
aiohttp:871fedcb014c0e568f4eed3ef5c74ae94c59c936,aiohttp,24,0,0.0,3,38,163,100.0,-1,0.0,0.0,dead_hard,never_solved,38:0/8;99:0/8;163:0/8
aiohttp:88f383427e918360fd2762a9a3256897159e2d6b,aiohttp,16,0,0.0,2,24,150,87.0,-1,0.0,0.0,dead_hard,never_solved,24:0/8;150:0/8
aiohttp:8a6c703415addca5b5aaa011476bd7f2df324a28,aiohttp,16,0,0.0,2,60,121,90.5,-1,0.0,0.0,dead_hard,never_solved,60:0/8;121:0/8
aiohttp:8c36b51e479bf2eec5ad71043c07232dc26d1582,aiohttp,24,0,0.0,3,32,157,94.0,-1,0.0,0.0,dead_hard,never_solved,32:0/8;93:0/8;157:0/8
aiohttp:8f881a7ad81e1bb48a3ebde5b8712498d613ffcf,aiohttp,8,0,0.0,1,72,72,72.0,-1,0.0,0.0,dead_hard,never_solved,72:0/8
aiohttp:90f058984a559c215f1721776326c145f9c77af9,aiohttp,8,0,0.0,1,62,62,62.0,-1,0.0,0.0,dead_hard,never_solved,62:0/8
aiohttp:970c5d9d84afc8fb762ff04940b5e25449a1f6ae,aiohttp,16,0,0.0,2,55,118,86.5,-1,0.0,0.0,dead_hard,never_solved,55:0/8;118:0/8
aiohttp:980c0d0bd3636a79b29b28b5bdde7dcd796736b1,aiohttp,24,0,0.0,3,9,134,71.7,-1,0.0,0.0,dead_hard,never_solved,9:0/8;72:0/8;134:0/8
aiohttp:9ff938eea3eb91165cfe45c0bf2432f56896d3e5,aiohttp,24,0,0.0,3,14,139,76.7,-1,0.0,0.0,dead_hard,never_solved,14:0/8;77:0/8;139:0/8
aiohttp:af8900de0e06c187a1235acd465c4b1ed2e5e6a0,aiohttp,8,0,0.0,1,123,123,123.0,-1,0.0,0.0,dead_hard,never_solved,123:0/8
aiohttp:b0536ae6babf160105d4025ea87c02b9fa5629f1,aiohttp,16,0,0.0,2,56,118,87.0,-1,0.0,0.0,dead_hard,never_solved,56:0/8;118:0/8
aiohttp:b1091c35c381851f3fa200f4a9fe1c38c5dfb678,aiohttp,24,0,0.0,3,18,144,81.3,-1,0.0,0.0,dead_hard,never_solved,18:0/8;82:0/8;144:0/8
aiohttp:b235e7656f8a4b07e1ad5ec74f28f6c05933620b,aiohttp,24,0,0.0,3,53,179,115.3,-1,0.0,0.0,dead_hard,never_solved,53:0/8;114:0/8;179:0/8
aiohttp:b7e3b300369d2b8c1a1bd1e269bf23b51dc0d8ce,aiohttp,24,0,0.0,3,20,146,83.3,-1,0.0,0.0,dead_hard,never_solved,20:0/8;84:0/8;146:0/8
aiohttp:b8548c7d4784cec1caaf67534c409069808a253c,aiohttp,16,0,0.0,2,49,175,112.0,-1,0.0,0.0,dead_hard,never_solved,49:0/8;175:0/8
aiohttp:b8ce8fb669bfca6734f3bb0f0c523ee74353a113,aiohttp,24,0,0.0,3,13,138,75.7,-1,0.0,0.0,dead_hard,never_solved,13:0/8;76:0/8;138:0/8
aiohttp:ba9b33e63a18841cdb7cf5f912d99ccbea91dee4,aiohttp,16,0,0.0,2,59,121,90.0,-1,0.0,0.0,dead_hard,never_solved,59:0/8;121:0/8
aiohttp:bce6e3c7324f53342bcd225103771c509fc4a67f,aiohttp,24,0,0.0,3,34,159,96.0,-1,0.0,0.0,dead_hard,never_solved,34:0/8;95:0/8;159:0/8
aiohttp:be27f7926f0da9b4129d98cf628eea99dc9e3411,aiohttp,24,0,0.0,3,22,148,85.3,-1,0.0,0.0,dead_hard,never_solved,22:0/8;86:0/8;148:0/8
aiohttp:c04a45d9c37d3e5fc740c3ab73595048af6476a9,aiohttp,24,0,0.0,3,26,152,89.0,-1,0.0,0.0,dead_hard,never_solved,26:0/8;89:0/8;152:0/8
aiohttp:c266fc770ab167da6e9af11ca2f345b694270b7b,aiohttp,16,0,0.0,2,3,129,66.0,-1,0.0,0.0,dead_hard,never_solved,3:0/8;129:0/8
aiohttp:cdc6fbf6af51a9c1b73058f0f84b6437047828fe,aiohttp,8,0,0.0,1,133,133,133.0,-1,0.0,0.0,dead_hard,never_solved,133:0/8
aiohttp:ce2e9758814527589b10759a20783fb03b98339f,aiohttp,8,0,0.0,1,57,57,57.0,-1,0.0,0.0,dead_hard,never_solved,57:0/8
aiohttp:ce9c4eb0f895f356e775ca268d7ccef908f4c936,aiohttp,16,0,0.0,2,60,122,91.0,-1,0.0,0.0,dead_hard,never_solved,60:0/8;122:0/8
aiohttp:d0e60d59d00d394193c8b40ac746146e094d5fb9,aiohttp,16,0,0.0,2,78,141,109.5,-1,0.0,0.0,dead_hard,never_solved,78:0/8;141:0/8
aiohttp:d15dbb3be3172a4fad1fd9367baf95059100f81b,aiohttp,24,0,0.0,3,34,160,96.7,-1,0.0,0.0,dead_hard,never_solved,34:0/8;96:0/8;160:0/8
aiohttp:d24c19e3b328517cba8a856c61f3d079614a5a5a,aiohttp,24,0,0.0,3,23,149,86.0,-1,0.0,0.0,dead_hard,never_solved,23:0/8;86:0/8;149:0/8
aiohttp:d58d2c3d0f8755dcd982071e3dc12e9f14db55f6,aiohttp,24,0,0.0,3,24,150,87.0,-1,0.0,0.0,dead_hard,never_solved,24:0/8;87:0/8;150:0/8
aiohttp:d7cd0613472fd4d9940e37f1c55921f6a1515324,aiohttp,24,0,0.0,3,8,133,70.7,-1,0.0,0.0,dead_hard,never_solved,8:0/8;71:0/8;133:0/8
aiohttp:d9a9368f0923e1447231880075271e7fe38683d8,aiohttp,24,0,0.0,3,53,179,115.3,-1,0.0,0.0,dead_hard,never_solved,53:0/8;114:0/8;179:0/8
aiohttp:d9c65b97afe64d2c27e46421dc115c80535930ca,aiohttp,24,0,0.0,3,18,144,81.3,-1,0.0,0.0,dead_hard,never_solved,18:0/8;82:0/8;144:0/8
aiohttp:dd5bb073107caa1c764158b87fb8482124aad6c1,aiohttp,24,0,0.0,3,7,132,70.0,-1,0.0,0.0,dead_hard,never_solved,7:0/8;71:0/8;132:0/8
aiohttp:dfaafac078d3f5ee5902933709f7264e9b1ffd70,aiohttp,24,0,0.0,3,34,159,96.0,-1,0.0,0.0,dead_hard,never_solved,34:0/8;95:0/8;159:0/8
aiohttp:e15c602b08cc943f5078a6284449f8e949cbb230,aiohttp,16,0,0.0,2,64,125,94.5,-1,0.0,0.0,dead_hard,never_solved,64:0/8;125:0/8
aiohttp:e238777c2a1e99e5de6e57972a31488ee8f03e37,aiohttp,24,0,0.0,3,12,137,74.7,-1,0.0,0.0,dead_hard,never_solved,12:0/8;75:0/8;137:0/8
aiohttp:e4ae01c2077d2cfa116aa82e4ff6866857f7c466,aiohttp,16,0,0.0,2,30,155,92.5,-1,0.0,0.0,dead_hard,never_solved,30:0/8;155:0/8
aiohttp:e8339e7687a6c228076f788237b6dbe95ae711e5,aiohttp,24,0,0.0,3,13,138,75.7,-1,0.0,0.0,dead_hard,never_solved,13:0/8;76:0/8;138:0/8
aiohttp:e9609ad14aef19dfd62e29f99c01a25294ff8d6b,aiohttp,24,0,0.0,3,24,150,87.0,-1,0.0,0.0,dead_hard,never_solved,24:0/8;87:0/8;150:0/8
aiohttp:ea316336f0b247bb85fd7ee0e4e41f5eac682228,aiohttp,16,0,0.0,2,109,172,140.5,-1,0.0,0.0,dead_hard,never_solved,109:0/8;172:0/8
aiohttp:ea948a4a984d2db4fceb42e6706f87e21cfea6a5,aiohttp,16,0,0.0,2,60,121,90.5,-1,0.0,0.0,dead_hard,never_solved,60:0/8;121:0/8
aiohttp:ee0657dfc26dc9f2aecf87f651b9dae0d14d9740,aiohttp,24,0,0.0,3,26,152,89.0,-1,0.0,0.0,dead_hard,never_solved,26:0/8;89:0/8;152:0/8
aiohttp:ee87a049be63887c0a5d9f4e6008b4e47460f16c,aiohttp,16,0,0.0,2,59,120,89.5,-1,0.0,0.0,dead_hard,never_solved,59:0/8;120:0/8
aiohttp:f4b5552c49a43359d3e2a14dc7d0d44262f9e41f,aiohttp,24,0,0.0,3,44,169,106.0,-1,0.0,0.0,dead_hard,never_solved,44:0/8;105:0/8;169:0/8
aiohttp:f99348b989eb9741e7f19412045a685308db15a3,aiohttp,24,0,0.0,3,43,168,105.0,-1,0.0,0.0,dead_hard,never_solved,43:0/8;104:0/8;168:0/8
aiohttp:fca5a7a0c8f3e713a4af2568fa94209f59f16fca,aiohttp,24,0,0.0,3,38,163,100.3,-1,0.0,0.0,dead_hard,never_solved,38:0/8;100:0/8;163:0/8
aiohttp:147aa3deb9359d770f14f647d0f1faee0b88e4d3,aiohttp,24,1,0.0417,3,44,169,106.0,169,0.0,0.0625,hard,emerging_late,44:0/8;105:0/8;169:1/8
aiohttp:1c1c0ea353041c8814a6131c3a92978dc2373e52,aiohttp,24,1,0.0417,3,13,138,75.3,75,0.0,0.0625,hard,steady,13:0/8;75:1/8;138:0/8
aiohttp:c6c36a664750d1f61e159dcc1a8d73ae2998854b,aiohttp,24,1,0.0417,3,3,128,66.0,128,0.0,0.0625,hard,emerging_late,3:0/8;67:0/8;128:1/8
aiohttp:d7802fe2e48bd7b1f70c8d66786ad125305eaa24,aiohttp,24,1,0.0417,3,48,174,110.7,110,0.0,0.0625,hard,steady,48:0/8;110:1/8;174:0/8
aiohttp:d8c040e72adfcb9e37c154f59e77ff485e75eee0,aiohttp,24,1,0.0417,3,46,171,108.0,171,0.0,0.0625,hard,emerging_late,46:0/8;107:0/8;171:1/8
aiohttp:e36c5f0ffeeea0076736c5756d63f5933c91eb8d,aiohttp,24,1,0.0417,3,14,139,76.7,77,0.0,0.0625,hard,emerging_late,14:0/8;77:1/8;139:0/8
aiohttp:fb0d3db26c6a21d2a9c1b96b7545e108114fb99b,aiohttp,24,1,0.0417,3,9,134,71.7,134,0.0,0.0625,hard,emerging_late,9:0/8;72:0/8;134:1/8
aiohttp:18a281eff089456797a6c783bec93cb93fbb0995,aiohttp,16,1,0.0625,2,30,155,92.5,155,0.0,0.125,hard,emerging_late,30:0/8;155:1/8
aiohttp:51ea69d4c863b9a184293371b24e8d3e6651eb25,aiohttp,16,1,0.0625,2,68,130,99.0,68,0.125,0.0,hard,lost_late,68:1/8;130:0/8
aiohttp:6d3d1fcf2583eb7b8330b194c00356ce169b2ebd,aiohttp,16,1,0.0625,2,58,120,89.0,58,0.125,0.0,hard,lost_late,58:1/8;120:0/8
aiohttp:768123537ec988ea629a829623e8d72e7aec1c41,aiohttp,16,1,0.0625,2,22,148,85.0,148,0.0,0.125,hard,emerging_late,22:0/8;148:1/8
aiohttp:f3a1afc51665d9d2180606f250f492a61623ac6b,aiohttp,16,1,0.0625,2,49,175,112.0,175,0.0,0.125,hard,emerging_late,49:0/8;175:1/8
aiohttp:1770460c4bcc172cf6e4dd2ff074361afd3bbaf4,aiohttp,24,2,0.0833,3,11,136,73.7,136,0.0,0.125,hard,emerging_late,11:0/8;74:0/8;136:2/8
aiohttp:210bcbb8ee0c3ce34664836403a07a0b97123696,aiohttp,24,2,0.0833,3,47,173,110.0,110,0.0,0.125,hard,emerging_late,47:0/8;110:2/8;173:0/8
aiohttp:2f7c45ebc0e2adee709815fc26264c7940b732fd,aiohttp,24,2,0.0833,3,41,166,103.3,41,0.125,0.0625,hard,steady,41:1/8;103:0/8;166:1/8
aiohttp:306e42d8de2a9f4c2a911eab5fce6da36f949f11,aiohttp,24,2,0.0833,3,2,128,65.3,2,0.125,0.0625,hard,steady,2:1/8;66:0/8;128:1/8
aiohttp:5f699bbbf98d3700921ec9a7d646d5f21e82e8c1,aiohttp,24,2,0.0833,3,43,168,105.3,43,0.125,0.0625,hard,steady,43:1/8;105:0/8;168:1/8
aiohttp:5fa260aaa35d81dcbbeb15ee3891337870f77c99,aiohttp,24,2,0.0833,3,12,137,74.7,75,0.0,0.125,hard,emerging_late,12:0/8;75:2/8;137:0/8
aiohttp:63813fe5f6d115c98beb180ddefb8cdc1b201b74,aiohttp,24,2,0.0833,3,40,165,102.3,102,0.0,0.125,hard,steady,40:0/8;102:1/8;165:1/8
aiohttp:695b0dc4bada1aca19a1bb99ea52176409658951,aiohttp,24,2,0.0833,3,53,179,115.3,53,0.125,0.0625,hard,steady,53:1/8;114:1/8;179:0/8
aiohttp:6e9ecc78e23cfbf592339243acc28e8e1d3c8fcc,aiohttp,24,2,0.0833,3,18,144,81.3,144,0.0,0.125,hard,emerging_late,18:0/8;82:0/8;144:2/8
aiohttp:731ba4dd399c26fd470dde5ea50e011e058b798a,aiohttp,24,2,0.0833,3,31,156,93.3,31,0.25,0.0,hard,lost_late,31:2/8;93:0/8;156:0/8
aiohttp:7e16dd198ea5042bd127a0d0417c40348ac1d158,aiohttp,24,2,0.0833,3,36,161,98.0,36,0.125,0.0625,hard,steady,36:1/8;97:1/8;161:0/8
aiohttp:922541b8f49e894bd2d52e0ae7d5b6daf3efa073,aiohttp,24,2,0.0833,3,42,167,104.3,104,0.0,0.125,hard,steady,42:0/8;104:2/8;167:0/8
aiohttp:d2b52d7c32a744379438c466e68ad2cb471deeba,aiohttp,24,2,0.0833,3,28,154,91.0,154,0.0,0.125,hard,emerging_late,28:0/8;91:0/8;154:2/8
aiohttp:dde1446cb9fb6835570795eebe58bf435a6a0006,aiohttp,24,2,0.0833,3,9,134,72.0,73,0.0,0.125,hard,emerging_late,9:0/8;73:1/8;134:1/8
aiohttp:ec714c820fd12aebe8d5d8594cd50345164d6bb0,aiohttp,24,2,0.0833,3,16,142,79.3,80,0.0,0.125,hard,emerging_late,16:0/8;80:2/8;142:0/8
aiohttp:f19d920658b6d6800d28c2dc0b99423da3c3750a,aiohttp,24,2,0.0833,3,14,139,76.3,139,0.0,0.125,hard,emerging_late,14:0/8;76:0/8;139:2/8
aiohttp:fecb85a9291d4cae6c06999c388421cde02c9860,aiohttp,24,2,0.0833,3,38,163,100.0,38,0.125,0.0625,hard,steady,38:1/8;99:1/8;163:0/8
aiohttp:06b23989d9a80da93eddf285960e00a01b078151,aiohttp,24,3,0.125,3,20,146,83.3,84,0.0,0.1875,hard,emerging_late,20:0/8;84:2/8;146:1/8
aiohttp:20d5f6e5421b1794b1d8370ab80b9deddf24f6da,aiohttp,16,2,0.125,2,48,174,111.0,48,0.25,0.0,hard,lost_late,48:2/8;174:0/8
aiohttp:3d41df0e8f0473c8e553f2f0446c7a35646320ea,aiohttp,24,3,0.125,3,21,147,84.3,85,0.0,0.1875,hard,emerging_late,21:0/8;85:1/8;147:2/8
aiohttp:45147c4e18d20ee7a4007fb3ee399487e319d9ad,aiohttp,8,1,0.125,1,57,57,57.0,57,0.125,0.125,hard,steady,57:1/8
aiohttp:898aa280f20c740ae7e3c020546d5be925bb6ddc,aiohttp,24,3,0.125,3,43,168,105.3,105,0.0,0.1875,hard,steady,43:0/8;105:1/8;168:2/8
aiohttp:aa2308fb632bce8eb056d66f7cdb51a469f2572e,aiohttp,8,1,0.125,1,5,5,5.0,5,0.125,0.125,hard,steady,5:1/8
aiohttp:c2d9c1904a5bf43aced8d5a5dc579ee80d2573b1,aiohttp,24,3,0.125,3,6,131,68.7,6,0.125,0.125,hard,steady,6:1/8;69:1/8;131:1/8
aiohttp:cdb5129afc79bb9e073ed6ad2fcb352efa2962c2,aiohttp,16,2,0.125,2,57,119,88.0,57,0.25,0.0,hard,lost_late,57:2/8;119:0/8
aiohttp:e40283338eab5b501e8e91e5b24c2c38cb1a0c71,aiohttp,24,3,0.125,3,13,138,75.7,13,0.25,0.0625,hard,steady,13:2/8;76:1/8;138:0/8
aiohttp:e74a4a02893c2b0a90ddcd8935ac9cdb946f2f1c,aiohttp,16,2,0.125,2,62,124,93.0,62,0.25,0.0,hard,lost_late,62:2/8;124:0/8
aiohttp:f0caa654b2db87d65159951094b3c7fc5d396caf,aiohttp,16,2,0.125,2,3,128,65.5,128,0.0,0.25,hard,emerging_late,3:0/8;128:2/8
aiohttp:f21c6f2ca512a026ce7f0f6c6311f62d6a638866,aiohttp,24,3,0.125,3,38,163,100.3,100,0.0,0.1875,hard,steady,38:0/8;100:3/8;163:0/8
aiohttp:fa628a2170cc03b82f32ea4e3812f41d015125e3,aiohttp,8,1,0.125,1,5,5,5.0,5,0.125,0.125,hard,steady,5:1/8
aiohttp:3b8fb5a2dcebc4703220f19010811b5ea9707707,aiohttp,24,4,0.1667,3,12,137,74.7,12,0.125,0.1875,hard,steady,12:1/8;75:0/8;137:3/8
aiohttp:45d6e4f14572bfc4cfc3f32a2c7c72a9cc28f125,aiohttp,24,4,0.1667,3,10,135,72.7,73,0.0,0.25,hard,emerging_late,10:0/8;73:2/8;135:2/8
aiohttp:4a2e64fd3a9221cc30b0d6f5660e9e47ea64bc82,aiohttp,24,4,0.1667,3,14,139,76.3,14,0.125,0.1875,hard,steady,14:1/8;76:1/8;139:2/8
aiohttp:6104dde0eb17d390e8a89c03cbb1fc18d93cc3d0,aiohttp,24,4,0.1667,3,37,162,99.3,37,0.125,0.1875,hard,steady,37:1/8;99:2/8;162:1/8
aiohttp:74d9355b6cf9581361668ffd2d38a01b53b58297,aiohttp,24,4,0.1667,3,42,167,104.0,42,0.125,0.1875,hard,steady,42:1/8;103:1/8;167:2/8
aiohttp:d2286ff6f0ebf3f477822dd081e257aa25a1477d,aiohttp,24,4,0.1667,3,47,173,109.7,47,0.125,0.1875,hard,steady,47:1/8;109:2/8;173:1/8
aiohttp:e3b1011f2146ad0faa4c3d3c29f26b73e1400564,aiohttp,24,4,0.1667,3,8,133,70.7,8,0.125,0.1875,hard,steady,8:1/8;71:3/8;133:0/8
aiohttp:43f3e23b1c66ad8303fd1333ccb86c2301d07d15,aiohttp,16,3,0.1875,2,28,90,59.0,28,0.125,0.25,hard,steady,28:1/8;90:2/8
aiohttp:88d224f7c53dd1ff410a5dccada6a778039adba7,aiohttp,16,3,0.1875,2,57,119,88.0,57,0.125,0.25,hard,steady,57:1/8;119:2/8
aiohttp:c0e4490aa74767907ae43d491a753d033eaf07c0,aiohttp,16,3,0.1875,2,58,119,88.5,58,0.25,0.125,hard,steady,58:2/8;119:1/8
aiohttp:306b4d0c4cbbf5e6257179f281254153517a5fc4,aiohttp,24,5,0.2083,3,42,167,104.0,42,0.125,0.25,hard,steady,42:1/8;103:3/8;167:1/8
aiohttp:af647c3cfc86920aa8303e1357a5dc21b88b7f9f,aiohttp,24,5,0.2083,3,22,148,85.0,22,0.25,0.1875,hard,steady,22:2/8;85:2/8;148:1/8
aiohttp:006fbe03fede4eaa1eeba7b8393cbf4d63cb44b6,aiohttp,24,6,0.25,3,48,174,110.7,48,0.125,0.3125,learnable,steady,48:1/8;110:3/8;174:2/8
aiohttp:0e8fe545dd78b2cb86286f4adc27f29fcb980578,aiohttp,16,4,0.25,2,116,181,148.5,116,0.125,0.375,learnable,steady,116:1/8;181:3/8
aiohttp:43f188c3201b8f086f7123b9fba5595f4a4faa50,aiohttp,8,2,0.25,1,55,55,55.0,55,0.25,0.25,learnable,steady,55:2/8
aiohttp:482e6cdf6516607360666a48c5828d3dbe959fbd,aiohttp,16,4,0.25,2,8,133,70.5,8,0.25,0.25,learnable,steady,8:2/8;133:2/8
